iter	MultiClass
0	-1.885094068
1	-1.832168125
2	-1.784423213
3	-1.740656785
4	-1.709446941
5	-1.675057933
6	-1.645445008
7	-1.621627792
8	-1.593602729
9	-1.570576282
10	-1.54857431
11	-1.528504681
12	-1.512808805
13	-1.49914596
14	-1.48781522
15	-1.472342441
16	-1.456722483
17	-1.446858397
18	-1.431916106
19	-1.419965967
20	-1.411300047
21	-1.402444158
22	-1.393509595
23	-1.381283721
24	-1.370755861
25	-1.360925393
26	-1.350153447
27	-1.343134187
28	-1.338687115
29	-1.331204018
30	-1.329435816
31	-1.320001165
32	-1.307589523
33	-1.296747964
34	-1.286872359
35	-1.284161487
36	-1.281506557
37	-1.274043304
38	-1.270009223
39	-1.261577954
40	-1.252680944
41	-1.24925354
42	-1.241903635
43	-1.235521437
44	-1.234823476
45	-1.23254439
46	-1.225007028
47	-1.217484089
48	-1.21024449
49	-1.209422301
50	-1.205009761
51	-1.19845919
52	-1.197367885
53	-1.196658996
54	-1.192090125
55	-1.186567342
56	-1.177463828
57	-1.176674937
58	-1.173884907
59	-1.166969874
60	-1.16120645
61	-1.158930501
62	-1.153493637
63	-1.148461101
64	-1.143288418
65	-1.139024248
66	-1.138912541
67	-1.13828866
68	-1.131560907
69	-1.127372323
70	-1.12217456
71	-1.117106159
72	-1.115663785
73	-1.111024679
74	-1.105427482
75	-1.102614538
76	-1.098690855
77	-1.092169159
78	-1.089444873
79	-1.084600739
80	-1.079076347
81	-1.073081616
82	-1.068834317
83	-1.059927822
84	-1.056630286
85	-1.048355137
86	-1.041581955
87	-1.037170881
88	-1.037025825
89	-1.036277105
90	-1.031297717
91	-1.023923327
92	-1.018420641
93	-1.016456146
94	-1.0163194
95	-1.011706224
96	-1.008771785
97	-1.00692148
98	-1.002084644
99	-0.9955325633
