iter	Passed	Remaining
0	17	1777
1	53	2636
2	93	3007
3	132	3170
4	165	3136
5	195	3065
6	224	2985
7	249	2865
8	276	2796
9	311	2803
10	344	2784
11	379	2783
12	415	2779
13	451	2771
14	496	2816
15	551	2895
16	577	2820
17	604	2755
18	628	2679
19	655	2620
20	676	2545
21	704	2497
22	731	2448
23	755	2393
24	802	2406
25	834	2373
26	860	2326
27	884	2273
28	899	2202
29	922	2152
30	936	2083
31	961	2043
32	987	2004
33	1010	1962
34	1031	1915
35	1052	1870
36	1071	1825
37	1094	1785
38	1115	1744
39	1145	1718
40	1175	1691
41	1194	1649
42	1220	1617
43	1243	1582
44	1258	1538
45	1283	1506
46	1309	1476
47	1335	1446
48	1359	1415
49	1377	1377
50	1401	1346
51	1430	1320
52	1446	1282
53	1467	1249
54	1491	1220
55	1516	1191
56	1546	1166
57	1563	1131
58	1584	1100
59	1625	1083
60	1664	1064
61	1687	1034
62	1711	1004
63	1736	976
64	1762	948
65	1784	919
66	1801	887
67	1816	854
68	1844	828
69	1870	801
70	1893	773
71	1921	747
72	1940	717
73	1960	688
74	1988	662
75	2013	635
76	2038	608
77	2061	581
78	2085	554
79	2109	527
80	2132	500
81	2154	472
82	2181	446
83	2205	420
84	2228	393
85	2251	366
86	2278	340
87	2300	313
88	2313	285
89	2332	259
90	2355	232
91	2376	206
92	2400	180
93	2477	158
94	2501	131
95	2563	106
96	2605	80
97	2640	53
98	2681	27
99	2720	0
